,product,reviews_number,title,positive,negative,neutral,positive_percent,negative_percent,neutral_percent
887,B01NAJKVQR,16,Dirty Dancing Edizione Rimasterizzata,10.0,5.0,1.0,0.625,0.3125,0.0625
888,B01NAUATSM,47,Hori Controller HORIPAD - Nintendo Switch,40.0,4.0,3.0,0.851063829787234,0.0851063829787234,0.06382978723404255
889,B01NBDXCMX,55,Rise of the Tomb Raider: 20 Year Celebration - PlayStation 4,50.0,5.0,0.0,0.9090909090909091,0.09090909090909091,0.0
890,B01NBU1LP4,47,Set da due Joy-Con Grigi per Nintendo Switch,37.0,6.0,4.0,0.7872340425531915,0.1276595744680851,0.0851063829787234
891,B01NBVACKX,4,Nintendo Switch Joy-Con Comfort Grip (Red) - [Edizione: Regno Unito],4.0,0.0,0.0,1.0,0.0,0.0
892,B01NCW5WJJ,53,Arms - Nintendo Switch,47.0,1.0,5.0,0.8867924528301887,0.018867924528301886,0.09433962264150944
893,B06WVVSV6W,61,Inside Out,51.0,4.0,6.0,0.8360655737704918,0.06557377049180328,0.09836065573770492
894,B06WW3QJ5M,10,The Doors,7.0,3.0,0.0,0.7,0.3,0.0
895,B06XB6FRPR,342,"EasySMX Controller Joystick per Giochi, Controller Joystick per Giochi con Cavo con Doppial-Vibrazione, Turbo e Pulsanti Anteriori per Windows/Android / PS3 / Box TV (Nero)",296.0,34.0,12.0,0.8654970760233918,0.09941520467836257,0.03508771929824561
896,B06XDP99YN,8,Kingdom Hearts III - Xbox One,7.0,0.0,1.0,0.875,0.0,0.125
897,B06XFZTFG9,28,Project Cars 2 - PlayStation 4,17.0,8.0,3.0,0.6071428571428571,0.2857142857142857,0.10714285714285714
898,B06XHJ9NT8,57,Fenomeno,55.0,1.0,1.0,0.9649122807017544,0.017543859649122806,0.017543859649122806
899,B06XKW54SH,128,Star Wars Battlefront II - PlayStation 4,92.0,26.0,10.0,0.71875,0.203125,0.078125
900,B06XPGCVJ8,59,Il Diritto di Contare,54.0,2.0,3.0,0.9152542372881356,0.03389830508474576,0.05084745762711865
901,B06XRGS5QQ,1,Grand Theft Auto V (GTA V) - Xbox One - Lingua italiana,1.0,0.0,0.0,1.0,0.0,0.0
902,B06XRYKLT2,1,Tom Clancy's Rainbow Six Siege - PlayStation 4 (PS4) Lingua italiana,1.0,0.0,0.0,1.0,0.0,0.0
903,B06XWYC4QP,140,Destiny 2 + DLC Esclusivo Amazon - PlayStation 4,78.0,39.0,23.0,0.5571428571428572,0.2785714285714286,0.16428571428571428
904,B06XX7WNRD,10,Illuminate,10.0,0.0,0.0,1.0,0.0,0.0
905,B06XXB8RL2,45,Faccio Un Casino,38.0,7.0,0.0,0.8444444444444444,0.15555555555555556,0.0
906,B06Y3PM5YG,73,Il Meglio Dello Zecchino D'Oro,69.0,2.0,2.0,0.9452054794520548,0.0273972602739726,0.0273972602739726
907,B06Y46R32C,67,Cars 3 - PlayStation 4,62.0,1.0,4.0,0.9253731343283582,0.014925373134328358,0.05970149253731343
908,B06Y6J6XV1,12,Ten,12.0,0.0,0.0,1.0,0.0,0.0
909,B06ZXTH3XS,10,"La Realta', La Lealta' E Lo Scontro",10.0,0.0,0.0,1.0,0.0,0.0
910,B06ZXY6427,3,"Nintendo Switch: Laccetto per Joy-Con, Giallo Neon",1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
911,B06ZY7K5N4,32,"Nintendo Switch: Set da Due Joy-Con, Giallo Neon",30.0,2.0,0.0,0.9375,0.0625,0.0
912,B07111CB4X,69,Guardiani della Galassia Vol. 2,66.0,3.0,0.0,0.9565217391304348,0.043478260869565216,0.0
913,B07143J5MM,66,Evolve,59.0,5.0,2.0,0.8939393939393939,0.07575757575757576,0.030303030303030304
914,B0716J3JS7,48,Ace Combat 7 - PlayStation 4,43.0,0.0,5.0,0.8958333333333334,0.0,0.10416666666666667
915,B0718Y5GNZ,7,No Roots,6.0,0.0,1.0,0.8571428571428571,0.0,0.14285714285714285
916,B071992NQ2,24,Nintendo Switch: Dock Set,21.0,1.0,2.0,0.875,0.041666666666666664,0.08333333333333333
917,B071FZZQ7S,170,FIFA 18  - Xbox One,140.0,21.0,9.0,0.8235294117647058,0.12352941176470589,0.052941176470588235
918,B071GQXNBB,34,Just Dance 2018 - PlayStation 4,31.0,1.0,2.0,0.9117647058823529,0.029411764705882353,0.058823529411764705
919,B071GR5VJM,10,Mario & Luigi: Superstar Saga + Bowser's Minions - New Nintendo 3DS,10.0,0.0,0.0,1.0,0.0,0.0
920,B071JYSFH9,411,Detroit : Become Human - PlayStation 4,398.0,7.0,6.0,0.9683698296836983,0.0170316301703163,0.014598540145985401
921,B071K696MB,5,Frank Zappa - Zoot Alors!: The Legendary Broadcasts 4 CD Set,5.0,0.0,0.0,1.0,0.0,0.0
922,B071KBYJFC,48,Just Dance 2018 - Nintendo Switch,43.0,1.0,4.0,0.8958333333333334,0.020833333333333332,0.08333333333333333
923,B071KBYJFH,102,Just Dance 2018 - Nintendo Wii,92.0,6.0,4.0,0.9019607843137255,0.058823529411764705,0.0392156862745098
924,B071L9TXRW,5,ALIMENTATORE / CARICATORE / CARICA BATTERIE DA RETE / MURO TYPE C per NINTENDO SWITCH,1.0,3.0,1.0,0.2,0.6,0.2
925,B071LP8P4P,70,Vasco Modena Park,49.0,16.0,5.0,0.7,0.22857142857142856,0.07142857142857142
926,B071NX4LLP,13,"2 CD 50 Canzoni Per Bambini, Canzoni Indimenticabili, Il coccodrillo Come Fa?, le Tagliatelle di Nonna Pina, La Canzone Dei Puffi,Canzoncine, Festa Compleanno, Cartoni Animati, Cartoon, Sigle",8.0,5.0,0.0,0.6153846153846154,0.38461538461538464,0.0
927,B071QXNLMS,14,La Passione Di Cristo  (Indimenticabili),11.0,3.0,0.0,0.7857142857142857,0.21428571428571427,0.0
928,B071R2TQGD,27,Yakuza Kiwami - Steelbook Day-one - PlayStation 4,25.0,0.0,2.0,0.9259259259259259,0.0,0.07407407407407407
929,B071VJWXFT,2,The Healing Game 20th Anniversary,2.0,0.0,0.0,1.0,0.0,0.0
930,B071X957N7,45,Ni No Kuni II: Il Destino di un Regno - Standard - PlayStation 4,32.0,9.0,4.0,0.7111111111111111,0.2,0.08888888888888889
931,B071YX2K44,32,Vascononstop,26.0,6.0,0.0,0.8125,0.1875,0.0
932,B0721MMXN6,126,Assassin's Creed Origins - PlayStation 4,106.0,12.0,8.0,0.8412698412698413,0.09523809523809523,0.06349206349206349
933,B0721Q6MXJ,68,Dragon Ball Fighterz - PlayStation 4,55.0,9.0,4.0,0.8088235294117647,0.1323529411764706,0.058823529411764705
934,B0722KNG9C,314,Uncharted: L'Eredità Perduta  - PlayStation 4,291.0,8.0,15.0,0.9267515923566879,0.025477707006369428,0.04777070063694268
935,B0722XGK9B,87,NBA 2K18 - PlayStation 4,68.0,14.0,5.0,0.7816091954022989,0.16091954022988506,0.05747126436781609
936,B072BZ66JL,37,"Nintendo Switch: Set Da Due Joy-Con, Verde/Rosa Neon - Limited",35.0,1.0,1.0,0.9459459459459459,0.02702702702702703,0.02702702702702703
937,B072JWYGKM,84,FIFA 18 - Nintendo Switch,69.0,9.0,6.0,0.8214285714285714,0.10714285714285714,0.07142857142857142
938,B072JYLFBZ,25,Metro Exodus Standard PlayStation 4,17.0,4.0,4.0,0.68,0.16,0.16
939,B072K65673,20,Nintendo Switch: Taccuino A Tema Splatoon 2,4.0,13.0,3.0,0.2,0.65,0.15
940,B072LZZTR9,67,Wonder Woman,58.0,6.0,3.0,0.8656716417910447,0.08955223880597014,0.04477611940298507
941,B072MKQQWP,13,Metro Exodus Standard Xbox One,12.0,0.0,1.0,0.9230769230769231,0.0,0.07692307692307693
942,B072MMXJFH,94,Pokémon Ultrasole - Nintendo 3DS,80.0,6.0,8.0,0.851063829787234,0.06382978723404255,0.0851063829787234
943,B072MR38Q9,178,Marvel's Spider-Man + Steelbook [Esclusiva Amazon.it] - PlayStation 4,171.0,5.0,2.0,0.9606741573033708,0.028089887640449437,0.011235955056179775
944,B072N357CC,97,Monster Hunter: World - PlayStation 4,83.0,8.0,6.0,0.8556701030927835,0.08247422680412371,0.061855670103092786
945,B072N5968B,5,Yoshi`s Crafted World - Nintendo Switch,5.0,0.0,0.0,1.0,0.0,0.0
946,B072N597H5,453,Super Mario Odyssey - Nintendo Switch,447.0,4.0,2.0,0.9867549668874173,0.008830022075055188,0.004415011037527594
947,B072PYXHPB,96,Lego Marvel Super Heroes 2 - PlayStation 4,94.0,0.0,2.0,0.9791666666666666,0.0,0.020833333333333332
948,B072XXM41X,44,WWE 2K18 - PlayStation 4,35.0,4.0,5.0,0.7954545454545454,0.09090909090909091,0.11363636363636363
949,B072ZPTQYB,1,"Ubisoft Assassin's Creed Origins, PS4 Basic PlayStation 4 videogioco",1.0,0.0,0.0,1.0,0.0,0.0
950,B07359D95V,1,Skin Ps4 PRO - CRISTIANO RONALDO - limited edition DECAL COVER ADESIVA Playstation 4 Slim SONY BUNDLE - VINILE LUCIDO,1.0,0.0,0.0,1.0,0.0,0.0
951,B073D25YNT,15,Venom PlayStation 4 Twin Charge Docking Station - White - PlayStation 4 [Edizione: Regno Unito],15.0,0.0,0.0,1.0,0.0,0.0
952,B073FNFTL2,441,Nintendo Classic Mini: Super Nintendo Entertainment System,405.0,18.0,18.0,0.9183673469387755,0.04081632653061224,0.04081632653061224
953,B073LWKPMF,2,Airport Simulator 2019,1.0,1.0,0.0,0.5,0.5,0.0
954,B073Q176X3,30,WRC 7 - PlayStation 4,23.0,2.0,5.0,0.7666666666666667,0.06666666666666667,0.16666666666666666
955,B073QGGXD3,17,Famiglia All'improvviso - Istruzioni Non Incluse,16.0,0.0,1.0,0.9411764705882353,0.0,0.058823529411764705
956,B073RNTB5N,81,Spider-Man: Homecoming,67.0,11.0,3.0,0.8271604938271605,0.13580246913580246,0.037037037037037035
957,B073RRQ7YT,32,Lego Ninjago Il Film Videogame - PlayStation 4,32.0,0.0,0.0,1.0,0.0,0.0
958,B073WK44GQ,31,Soundtrack 97–17,29.0,0.0,2.0,0.9354838709677419,0.0,0.06451612903225806
